episode,training_steps,eval_reward,epsilon,shoe_features_on
5,0,-0.8,0.99985000899973,1
10,0,-0.1,0.9997000404967603,1
15,0,-0.4,0.9995500944877164,1
20,0,-0.55,0.9994001709692243,1
5,0,-0.8,0.99985000899973,1
10,0,-0.1,0.9997000404967603,1
15,0,-0.4,0.9995500944877164,1
20,0,-0.55,0.9994001709692243,1
5,0,-0.8,0.99985000899973,1
10,0,-0.1,0.9997000404967603,1
15,0,-0.4,0.9995500944877164,1
20,0,-0.55,0.9994001709692243,1
5000,15992,-0.1264,0.8607060397956687,1
10000,35076,-0.1184,0.7408148869407416,1
15000,54168,-0.1074,0.6376238475604386,1
20000,73300,-0.1613,0.5488066967130222,1
25000,92380,-0.1569,0.4723612385412052,1
30000,111428,-0.1606,0.406564170977779,1
35000,130580,-0.1085,0.34993223752509106,1
40000,149628,-0.0964,0.30118879035705803,1
45000,168668,-0.1087,0.259235010979069,1
50000,187724,-0.0979,0.22312513967618056,1
55000,206832,-0.1111,0.19204515534954025,1
60000,225908,-0.0869,0.16529442512284676,1
65000,245080,-0.0846,0.14226991004778672,1
70000,264168,-0.0819,0.12245257085931614,1
75000,283208,-0.0626,0.10539566732712037,1
80000,302240,-0.0757,0.09071468743674693,1
85000,321396,-0.1029,0.07807867937498389,1
90000,340428,-0.0614,0.06720279091731739,1
95000,359504,-0.0867,0.05784184803366031,1
100000,378404,-0.0378,0.05,1
105000,397452,-0.0701,0.05,1
110000,416560,-0.0349,0.05,1
115000,435552,-0.0236,0.05,1
120000,454628,-0.0769,0.05,1
125000,473692,-0.0662,0.05,1
130000,492732,-0.0988,0.05,1
135000,511852,-0.0649,0.05,1
140000,530836,-0.0731,0.05,1
145000,549884,-0.0418,0.05,1
150000,568832,-0.0551,0.05,1
155000,587832,-0.1103,0.05,1
160000,606844,-0.0773,0.05,1
165000,625876,-0.0855,0.05,1
170000,644932,-0.0743,0.05,1
175000,663984,-0.0764,0.05,1
180000,683004,-0.0811,0.05,1
185000,702024,-0.0692,0.05,1
190000,721080,-0.0905,0.05,1
195000,740136,-0.0624,0.05,1
200000,759120,-0.0937,0.05,1
