episode,training_steps,eval_reward,epsilon,shoe_features_on
5000,16056,-0.0817,0.8607060397956687,0
10000,35064,-0.0683,0.7408148869407416,0
15000,54164,-0.0332,0.6376238475604386,0
20000,73252,-0.0816,0.5488066967130222,0
25000,92304,-0.0277,0.4723612385412052,0
30000,111384,-0.022,0.406564170977779,0
35000,130496,-0.0203,0.34993223752509106,0
40000,149536,-0.0403,0.30118879035705803,0
45000,168648,-0.0362,0.259235010979069,0
50000,187696,-0.0665,0.22312513967618056,0
55000,206756,-0.0513,0.19204515534954025,0
60000,225792,-0.0067,0.16529442512284676,0
65000,244812,-0.0288,0.14226991004778672,0
70000,263864,-0.0148,0.12245257085931614,0
75000,282856,-0.0416,0.10539566732712037,0
80000,301976,-0.0528,0.09071468743674693,0
85000,321016,-0.0163,0.07807867937498389,0
90000,340056,-0.0171,0.06720279091731739,0
95000,359096,-0.0215,0.05784184803366031,0
100000,378108,-0.0484,0.05,0
105000,397200,-0.0207,0.05,0
110000,416240,-0.0323,0.05,0
115000,435252,-0.0344,0.05,0
120000,454296,-0.06,0.05,0
125000,473360,-0.0104,0.05,0
130000,492404,-0.0267,0.05,0
135000,511388,-0.0157,0.05,0
140000,530432,-0.0271,0.05,0
145000,549444,-0.0495,0.05,0
150000,568480,-0.061,0.05,0
155000,587596,-0.0562,0.05,0
160000,606640,-0.0319,0.05,0
165000,625656,-0.0313,0.05,0
170000,644772,-0.0183,0.05,0
175000,663740,-0.0089,0.05,0
180000,682776,-0.0112,0.05,0
185000,701760,-0.0291,0.05,0
190000,720744,-0.0426,0.05,0
195000,739796,-0.0058,0.05,0
200000,758860,-0.0238,0.05,0
