episode,training_steps,eval_reward,epsilon,shoe_features_on
5000,16056,-0.0817,0.8607060397956687,0
10000,35064,-0.0683,0.7408148869407416,0
15000,54164,-0.0332,0.6376238475604386,0
20000,73252,-0.0816,0.5488066967130222,0
25000,92304,-0.0277,0.4723612385412052,0
30000,111384,-0.022,0.406564170977779,0
35000,130496,-0.0203,0.34993223752509106,0
40000,149536,-0.0403,0.30118879035705803,0
45000,168648,-0.0362,0.259235010979069,0
50000,187696,-0.0665,0.22312513967618056,0
55000,206756,-0.0513,0.19204515534954025,0
60000,225792,-0.0067,0.16529442512284676,0
65000,244812,-0.0288,0.14226991004778672,0
70000,263864,-0.0148,0.12245257085931614,0
75000,282856,-0.0416,0.10539566732712037,0
80000,301976,-0.0528,0.09071468743674693,0
85000,321016,-0.0163,0.07807867937498389,0
90000,340056,-0.0171,0.06720279091731739,0
95000,359096,-0.0215,0.05784184803366031,0
100000,378108,-0.0484,0.05,0
105000,394572,-0.1236,0.05,1
110000,413584,-0.0896,0.05,1
115000,432644,-0.0876,0.05,1
120000,451648,-0.0948,0.05,1
125000,470656,-0.0698,0.05,1
130000,489616,-0.0754,0.05,1
135000,508624,-0.0749,0.05,1
140000,527504,-0.0887,0.05,1
145000,546484,-0.0867,0.05,1
150000,565596,-0.0852,0.05,1
155000,584716,-0.0513,0.05,1
160000,603808,-0.0382,0.05,1
165000,622976,-0.0656,0.05,1
170000,641988,-0.0506,0.05,1
175000,660964,-0.0695,0.05,1
180000,679936,-0.0614,0.05,1
185000,699068,-0.0485,0.05,1
190000,718132,-0.0539,0.05,1
195000,737216,-0.0662,0.05,1
200000,756260,-0.0473,0.05,1
