episode,training_steps,eval_reward,epsilon,shoe_features_on
5000,23090,-0.0658,0.8607060397956687,0
10000,42190,-0.0834,0.7408148869407416,0
15000,61246,-0.0082,0.6376238475604386,0
20000,80290,-0.0598,0.5488066967130222,0
25000,99382,-0.0165,0.4723612385412052,0
30000,118590,-0.0078,0.406564170977779,0
35000,137662,-0.0532,0.34993223752509106,0
40000,156746,-0.0084,0.30118879035705803,0
45000,175818,-0.0146,0.259235010979069,0
50000,194830,-0.0044,0.22312513967618056,0
55000,213786,-0.0384,0.19204515534954025,0
60000,232710,-0.0103,0.16529442512284676,0
65000,251766,0.0091,0.14226991004778672,0
70000,270762,-0.0315,0.12245257085931614,0
75000,289810,-0.0025,0.10539566732712037,0
80000,308914,-0.0263,0.09071468743674693,0
85000,327930,-0.0058,0.07807867937498389,0
90000,346966,-0.0652,0.06720279091731739,0
95000,366110,-0.0005,0.05784184803366031,0
100000,385158,-0.0224,0.05,0
105000,401470,-0.1162,0.05,1
110000,420598,-0.0657,0.05,1
115000,439622,-0.0881,0.05,1
120000,458638,-0.079,0.05,1
125000,477590,-0.1111,0.05,1
130000,496610,-0.0706,0.05,1
135000,515582,-0.0829,0.05,1
140000,534654,-0.0567,0.05,1
145000,553690,-0.0598,0.05,1
150000,572714,-0.0415,0.05,1
155000,591846,-0.0435,0.05,1
160000,610898,-0.0707,0.05,1
165000,629998,-0.0858,0.05,1
170000,649026,-0.0701,0.05,1
175000,668014,-0.0671,0.05,1
180000,687030,-0.068,0.05,1
185000,706046,-0.057,0.05,1
190000,725118,-0.0748,0.05,1
195000,744198,-0.067,0.05,1
200000,763278,-0.045,0.05,1
