episode,training_steps,eval_reward,epsilon,shoe_features_on
25000,142155,-0.003,0.4723612385412052,0
50000,189851,-0.121,0.22312513967618056,0
75000,237389,0.049,0.10539566732712037,0
100000,285007,-0.039,0.04978482795551448,0
125000,332645,-0.048,0.0235164229936278,0
150000,380271,-0.005,0.011108246691328899,0
175000,427929,0.007,0.01,0
200000,475591,0.006,0.01,0
225000,523261,0.01,0.01,0
250000,570889,0.038,0.01,0
275000,618495,-0.063,0.01,0
300000,666127,0.027,0.01,0
325000,713895,-0.1,0.01,0
350000,761423,0.0,0.01,0
375000,809087,-0.022,0.01,0
400000,856635,-0.03,0.01,0
425000,904373,-0.078,0.01,0
450000,951899,-0.035,0.01,0
475000,999457,0.002,0.01,0
500000,1047085,-0.025,0.01,0
